Job Posting,Job Requisition,Posted Internally Only,Job Requisition ID,Job Requisition Status,Supervisory Organization,Group,Account Group,IMT,Team,Job Profile,Job Requisition Type,Management Level,Remote Delivery,Primary Location,Primary Location State/Province,Primary Location Country,Locations,Required Clearance,Clearance Agency,Time Type,Recruiting Start Date,Job Type,Job Family,Job Family Group,Job Description,Job Profile Skills,Contract
Systems Engineer,R0218839 Systems Engineer (Open),,R0218839,Open,Supervisory Organization (Sadie Rynestad (632584)),Global Defense Group,JCC Acct Group,JCC CONUS IMT,TE&S Specialized,"Systems Engineer, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Fort Bragg, NC",North Carolina,United States of America,"Fort Bragg, NC",TS/SCI,DOD SCI,Full time,4/22/25,Regular,Systems Engineer,Engineering & Science Professional,"The Opportunity: 
Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in simulation training environments for our United States military. You understand your customer’s environment and how to develop the right systems for their mission.

As a Systems Engineer on our team, you’ll use your experience in network design and architecture, information assurance, group policy and account management, virtualization, installation and configuration of applications, system administration and updates, and automation to lead a team of engineers focusing on Network Modernization on an inherited, legacy, infrastructure. Your customer will trust you to not only design and develop these systems, but also evolve them with advanced technology solutions. On our team, you’ll troubleshoot and resolve complex network issues on a training environment and analyze current working infrastructures to understand how to make improvements and increase security, reliability, and availability for mission-critical network systems. Using your technical curiosity and knowledge of industry standards, you’ll make an impact on national security missions.  

Join us. The world can’t wait. 

You Have: 

10+ years of experience working in a technical environment

Experience leading a technical team

Experience with Linux operating systems

Experience with Windows operating systems 

Experience setting up ESXI hosts

Experience building complex compute environments

Experience in network architecture and infrastructure management

TS/SCI clearance

Bachelor's degree

Security+ Certification


Nice If You Have: 

Experience working in the DoD or military environment

Experience with SOF

Experience with SATCOM and setting up mesh networks

Knowledge of Active Directory IIS

Microsoft Active Directory Administration Certification

VMWare Administration Certification

CASP+, such as SecurityX, or CISSP Certification


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Client Service Excellence

Communication

Concept of Operations Development

Configuration Management (CM)

Decision Management

Group Problem Solving

Information Management

Integration Testing

Life Cycle Cost Analysis

Organizational Savvy

Project Cycle Management (PCM)

Requirements Analysis

Risk Management

Stakeholder Management

Systems Architecture Design

Use Case Modeling

Value Engineering (VE)

Verification and Validation (V&V)",EMAPS2
"Systems Integrator, Lead","R0218854 Systems Integrator, Lead (Open)",,R0218854,Open,Supervisory Organization (Yolanda Obey (619638)),National Security Group,Space & MI Acct Group,Space & MI IMT,M&I Specialized,"Program/Project Manager, Lead Associate",Immediately Billable,Lead Associate,Hybrid Delivery,"El Segundo, CA",California,United States of America,"Colorado Springs, CO

El Segundo, CA",Secret,DOD,Full time,4/22/25,Regular,Program/Project Manager,Consulting & Mission Operations,"The Opportunity: 
Are you looking for an opportunity to contribute to an organization’s growth and development? As a Systems Integrator, you will provide technical expertise and strategic leadership to a key DoD Positioning, Navigation, Timing (PNT) leadership. You will balance technical and strategic knowledge to influence the present and future of the organization. You will manage the team’s programmatic leads to ensure integration and synchronization across the entire portfolio.  

In coordination with the organization’s strategic communications team, you will provide expertise to senior leadership to shape the organization’s strategy, as well as support the creation of deliverables by providing deep technical insight for the client’s programs. You will provide assistance and mentorship to the senior leader who leads a multi-functional workforce made up of military, government civilians, contractors, and federally funded research and development center (FFRDC) personnel, leading development contractors. You will advise the senior leader to drive unity of command by aligning organizational structures and processes within the organization to optimize operational effectiveness.

Join us. The world can’t wait. 

You Have:

15+ years of experience with Space Operations Command

Experience leading and mentoring geographically-dispersed, multi-disciplinary teams at multiple levels of experience

Experience managing programmatic or contractual baselines

Experience with the achievement of key DoD acquisition milestones and acquisition decision points

Experience crafting or briefing strategic communications

Ability to interact well in cross-functional team meetings and professional environments 

Ability to interface with internal and external customers, including high-profile senior leaders

Secret clearance

Bachelor’s degree


Nice If You Have:

10+ years of experience with DoD acquisition system, life cycle planning, or logistics and sustainment

5+ years of experience with space vehicle operations

Experience as a Senior Material Lead (SML), Material Lead (ML), Product Support Manager (PSM), or served as a deputy SML, ML, or PSM

Experience as acquisition support to senior leaders in program and project life cycle management

Experience working within at least one GPS Enterprise segment

Experience in facilities and contracts management

Possession of excellent oral and written communication skills

TS/SCI clearance

Master’s degree


Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Budgeting

Capability Development

Change Management

Conflict Resolution

Contract Management

Cross-Functional Partnerships

Data Analysis

Expense Management

Financial Analysis

Financial Data Reporting

Financial Management

Leadership

Long Term Planning

Negotiation

Oral Communications

Performance Management (PM)

Problem Management

Program Management

Quality Management

Relationship Management

Resource Management

Risk Management

Service Request Management

Subcontract Management

Supplier Management

Tactical Planning

Time Management

Waterfall Model",NSS_SeaPort_SYD
Force Protection Exercise Planner and Detention Operations SME,R0218886 Force Protection Exercise Planner and Detention Operations SME (Open),,R0218886,Open,Supervisory Organization (Robert Weigold | Bob Weigold (603889)),Global Defense Group,JCC Acct Group,JCC CONUS IMT,M&I Core,"Defense Mission Professional, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"MacDill AFB, FL",Florida,United States of America,"MacDill AFB, FL",TS/SCI,DOD SCI,Full time,4/23/25,Regular,Defense Mission Professional,Consulting & Mission Operations,"The Opportunity: 
As a defense mission professional, you ask questions others don’t. You understand the nuances of complex situations. You use your skills to think bigger and push further, solving complex problems. We’re looking for someone like you to help create solutions for missions that keep our nation safe. 

As a Defense Mission Professional, you’ll bring your analytical, strategic, tactical, technical background with Combatant and Component Command background to work on projects for our client. You’ll research, develop, analyze and assemble the Force Protection Exercise Planning Cycle as well as Detainee Movement Operations. You’ll help identify, analyze, and evaluate complex systems, policies and processes related to threats and security as part of joint missions.

You’ll impact the work we do and the solutions we deliver for military missions and defense mission planning.  
You have previously served your nation in the military with success in a highly technical workforce. Grow your career with us as you help solve complex design, integration, and analytical problems for our dynamic client.

Join us. The world can’t wait. 

You Have:  

10+ years of experience working in the DoD

5+ years of experience as a Geographic Combatant Command Staff

3+ years of experience with strategic-level briefing, crafting presentations, senior-level report writing and agreements, and communicating those in reading and writing for senior General or Flag Officers

Experience with all facets of Force Protection Planning, including supervising, coordinating, advising, collecting, interpreting, and providing Force Protection guidance, and the coordination, interoperability, development, and execution of Force Protection Plans exercises

Experience with Task Management Tool and Microsoft Office Products, including Excel, Word, PowerPoint, and SharePoint

Knowledge of the policies and procedures of physical security, combating terrorism, law enforcement operations, information security, and operations security  

Ability to coordinate with host nation leadership, be a team-oriented individual, and adapt and fit into a dynamic, changing, and vast workspace

TS/SCI clearance

Bachelor's degree

Antiterrorism Officer Level II Certification


Nice If You Have:  

Experience in Security Forces, Military Police, Law Enforcement, or Physical Security  

Experience with coordination efforts for the protection of conducting multi-national level exercises  

Experience in the coordination, interoperability, development, and execution of Force Protection Plans exercises at a Combatant Command or Component Command

Knowledge of U.S. customs operations and inter-agency security agreements

Knowledge of Master Scenario Events List (MSEL) and Joint Exercise Life Cycle (JELC)

Knowledge of Detainee Operations

Possession of excellent interpersonal relationship skills and excellent written and verbal communication skills


Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Budget Execution

Business Management

Critical Thinking

Decision Making

Defense Planning

Financial Management

Integration

Long Term Planning

Military

Military Defense

National Security

Oral Communications

Planning, Programming, Budgeting, and Execution (PPBE)

Quality Management

Requirements Development

Resourcing

Risk Management

Stakeholder Management

Tactical Planning

Technical Research

Waterfall Model

Written Communication",IAC MAC Survivability and Vulnerability Analysis for United States Central Command P1-19-1946/FA807520F0062
Go-to-Market Director,R0218870 Go-to-Market Director (Open),,R0218870,Open,Supervisory Organization (Mujtaba Hamid (644114)),Corporate Core,PBR Operations,Office of Product IMT,Executive PBR Operations,"Product Marketing Manager, Principal/Director",Non Billable,Principal/Director,Hybrid Delivery,"McLean, VA",Virginia,United States of America,"McLean, VA",,,Full time,4/23/25,Regular,Product Marketing Manager,Internal Professional,"The Opportunity:
The leader in this role will define, establish, and lead Go-To-Market (GTM) execution for Booz Allen’s leading edge product innovation. You bring experience and passion for understanding technology product-market fit to create and execute GTM programs across marketing, sales, and ecosystem partnerships. As the functional leader, you will get to work end-to-end to activate the company’s existing operations internally as well as sales and partnership channels externally.  In this role, you will define and drive GTM strategy and execution across product marketing, sales, and ecosystem partnerships while ensuring successful market entry, adoption, and revenue growth. You will identify gaps and facilitate enablement plans and engage with leadership to assess strengths, capabilities, and market positioning, tailor GTM ensuring alignment with business objectives, and develop an execution plan aimed at driving revenue. This role is responsible for translating market opportunity into action by owning product launch planning, enablement programs, and ongoing funnel optimization. You’ll use data to guide decisions, surface insights, and continuously refine GTM strategy to maximize business impact. Due to the nature of work performed within this facility, U.S. citizenship is required.

Ready to build the future of shared delivery for the better?

How You’ll Contribute:

Define and lead the end-to-end GTM strategy for new and existing product lines, including product market segmentation, positioning, launch planning, and execution. 

Drive cross company sector alignment across sales, product, marketing, and customer success to ensure consistent messaging and operational efficiency.

Build and execute GTM plans that support sector pipeline development, accelerate time-to-revenue, and drive customer acquisition.

Develop and maintain customer segmentation, ICPs, and competitive positioning frameworks.

Collaborate with sectors to influence roadmap and ensure market-fit through feedback loops. 

Partner with marketing to craft compelling messaging and enable multi-channel campaigns.

Identify, build, and manage key technology and channel partnerships.

Own key GTM metrics and reporting, including pipeline growth, funnel conversion, win or loss insights, and partner-influenced revenue.


Join us. The world can’t wait.

You Have:

10+ years of experience driving Go-To-Market strategy and execution across technology product technical sales, business development, or product marketing

Experience in successfully growing business to business (B2B) technology product sales in a late-stage startup or mid-size or large enterprise environment

Experience working across CxO to product team levels internally and with customers  

Experience building and driving technology and channel partnerships

Experience using data-driven techniques for technology go-to-market

Bachelor's degree in a Marketing, Computer Science, or Business field 


Nice If You Have:

Experience with sales operations, including incentive compensation, quota, and discounts 

Experience owning complex product launches and go-to-market execution across multiple customer segments 

Experience working with U.S. government mission customers 

Possession of excellent problem-solving, analytical, and critical thinking skills","Business Analytics

Business Economics

Competitive Environment

Competitive Markets

Decision Making

Effectiveness Measurement

Long Term Planning

Marketing

Marketing Activities

Marketing Channels

Marketing Systems

Professional Presentation

Strategic Thinking

Tactical Planning

Team Facilitation",PBR GTM
Human Spaceflight Test and Verification Process Engineer,R0218904 Human Spaceflight Test and Verification Process Engineer (Open),,R0218904,Open,Supervisory Organization (Graham Mooney (622680)),National Security Group,Space & MI Acct Group,Space & MI IMT,TE&S Specialized,"Systems Engineer, Associate",Immediately Billable,Associate,Hybrid Delivery,"Houston, TX",Texas,United States of America,"Houston, TX",,,Full time,4/23/25,Regular,Systems Engineer,Engineering & Science Professional,"The Opportunity: 
Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in human spaceflight? You understand your customer’s environment and how to develop the right systems for their mission. Your ability to translate real-world needs into technical specifications makes you an integral part of delivering a customer focused engineering solution.

As a test and verification process engineer on our team, you’ll have the chance to shape the client’s systems by influencing test and verification activities across multiple vehicle, system, and sub-system teams throughout development and mission execution. Your customer will trust you to not only build an understanding of the requirements and verification data and develop processes and tools to ensure proper flow and reporting through the Test and Verification lifecycle, but also to evolve legacy processes with advanced technology solutions. On our team, you’ll be able to grow your skills by merging spaceflight system knowledge and systems engineering to create solutions to some of the most complex engineering and integration challenges in human spaceflight.

As a Test & Verification (T&V) process engineer, you’ll use your knowledge in the areas of requirements and Testing & Verification standards and best practices to interface with multiple teams across offices and with client partners to build your expertise as a technical and process resource for all T&V activities. You will seek out and identify issues and assist with resolution. You will be working at the interface between requirements, engineering, and test and verification teams, and the senior leadership team. You will create the future of human spaceflight!

Join us. The future can’t wait.

You Have:

8+ years of experience with systems or test engineering

Experience with DOORS Next Generation or DOORS classic

Experience with data analytics

Experience with Model-Based Systems Engineering

Knowledge of the requirements development and verification process

Ability to work collaboratively and resolve issues with multiple customers and stakeholders

Ability to drive a technical problem to conclusion and coordinate with senior management

Bachelor's degree in a Systems Engineering or Engineering field


Nice If You Have:

Experience with T&V for commercial human space flight programs

Experience with PowerBI

Knowledge of T&V standards and best practices

Ability to influence outcomes via strong evidence-based communication","Big Data Management

Client Service Excellence

Communication

Concept of Operations Development

Configuration Management (CM)

Decision Management

Group Problem Solving

Information Management

Integration Testing

Life Cycle Cost Analysis

Organizational Savvy

Project Cycle Management (PCM)

Requirements Analysis

Risk Management

Stakeholder Management

Systems Architecture Design

Use Case Modeling

Value Engineering (VE)

Verification and Validation (V&V)",SPEAC II Gateway
Installation Plans Analyst,R0218866 Installation Plans Analyst (Open),,R0218866,Open,Supervisory Organization (Jason Borg (600627)),Global Defense Group,JCC Acct Group,JCC Europe IMT,M&I Specialized,"Defense Mission Expert, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"Grafenwoehr, Bavaria",Baden-Wurttemberg,Germany,"Grafenwoehr, Bavaria",Secret,DOD,Full time,4/23/25,Long Term Assignee,Defense Mission Expert,Consulting & Mission Operations,"The Opportunity:As an expert in defense missions, your unique skill set inspires you to think bigger, push further, and ask questions others don’t. We need your extensive industry knowledge and advisory skills to help solve some of our clients’ most complex problems—and find solutions that keep our nation safe. As an Installation Plans Analyst, you’ll bring your leadership, strategic, tactical, and technical background to collaborate with thought leaders in plans, basing, posture, and emergency response on projects for the Army. You’ll use your skills as you analyze, assess, develop plans, and support garrison and posture for the client.

You served your country as a uniformed services officer or a GS civilian, now continue your mission with us. Further your career while creating mission-forward solutions that matter. Work with us to help solve posture, exercise and crises planning for the client.

Join us. The world can’t wait.

You Have:  
6+ years of experience with military operations, logistics, or planning
3+ years of experience with project management
2+ years of experience planning, coordinating, or executing military exercises
Experience with the Military Decision-Making Process
Secret clearance  
Bachelor’s degree
Nice If You Have:  
Experience working on an Installation Management or Army Garrison staff
Experience with strategic planning and posture planning
Experience developing emergency response plans  
Experience with Knowledge Management 
Master’s degree
Project Management Certification

Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Active Components

Budget Execution

Business Management

Computer Programming

Critical Thinking

Customer Relationship Management (CRM)

Decision Making

Defense Planning

Evaluation Methods

Executive Engagement

Financial Management

Integration

Leadership

Long Term Planning

Mentorship

Military

Military Defense

National Security

Oral Communications

Organizational Savvy

Planning, Programming, Budgeting, and Execution (PPBE)

Problem Management

Program Management

Quality Management

Requirements Development

Resourcing

Risk Management

Stakeholder Management

Tactical Planning

Teamwork

Technical Research

Written Communication",ET2RC
"Joint Operation Planner, Senior","R0218881 Joint Operation Planner, Senior (Open)",,R0218881,Open,Supervisory Organization (John Brengle (598279)),National Security Group,Space & MI Acct Group,Space & MI IMT,M&I Core,"Defense Mission Professional, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Fort Meade, MD",Maryland,United States of America,"Fort Meade, MD",TS/SCI w/CIP,DOD SCI,Full time,4/23/25,Regular,Defense Mission Professional,Consulting & Mission Operations,"The Opportunity:
As a defense mission professional, you ask questions others don’t. You understand the nuances of complex situations. You use your skills to think bigger and push further, solving complex problems. We’re looking for an expert like you to create solutions for missions that keep our nation safe.

As a Joint Operation Planner, you’ll bring your military planning expertise to work on projects supporting national defense and military capability development and employment. You’ll analyze available information, develop and test options, write plans and orders, and assess organizational progress to aid in accomplishing the organization's objectives in and through cyberspace. Participate and provide input throughout all planning functions, from translating strategic guidance through concept and plan development to plan assessments and associated functions. You will contribute to the development, revision, and coordination of campaign, support, and contingency plans, including commander’s estimates, base plans, concept plans, and operations plans, and ensure Cyberspace operations are integrated with all appropriate and associated annexes and appendices. You will coordinate and integrate DoD requirements, targets, and priorities into planning and participate in all Joint operation contingency and crisis planning activities as a member of Joint Planning Groups (JPGs) and Operational Planning Teams (OPTs), as needed, to ensure proper representation of applicable guidance and doctrine into planning. You’ll be a trusted advisor to our clients, and we’ll look to you to identify, analyze, and evaluate complex systems, policies, processes, and capabilities related to countering foreign cyberspace threats and bolstering homeland security as part of the joint mission.

You’ll guide the work we do for military cyberspace operations and the solutions we deliver for military missions, cyberspace defense, national security, and strategic and operational planning.

Further your career with us as you help solve complex design, integration, and analytical problems for the Joint Force's cyberspace missions.

Join us. The world can’t wait.

You Have: 

5+ years of experience as a Joint Operation Planner or completion of an advanced planner school, such as School of Advanced Military Studies (SAMS), School of Advanced Warfighting (SAW), School of Advanced Air and Space Studies (SAASS), or Joint Advanced Warfighting School (JAWS)

Active TS/SCI clearance; willingness to take a polygraph exam 

Bachelor’s degree 

Joint Professional Military Education Phase II (JPME II) Certification or 4+ additional years of experience in operations planning


Nice If You Have: 

Experience with the developing, revising, and coordinating of campaign, support, and contingency plans, including commander’s estimates, base plans, concept plans, and operations plans

Experience with integrating DoD requirements, targets, and priorities into planning and leading Joint operation contingency and crisis planning activities

Knowledge of subjects relating to the conduct, activities, governance, business practices, or operation of Combatant Commands

Ability to work independently without supervision

Ability to analyze available information, develop and test options, write plans and orders, and assess organizational progress

Possession of excellent organizational, analytical, and problem-solving skills  

TS/SCI clearance with a polygraph


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Budget Execution

Business Management

Critical Thinking

Decision Making

Defense Planning

Financial Management

Integration

Long Term Planning

Military

Military Defense

National Security

Oral Communications

Planning, Programming, Budgeting, and Execution (PPBE)

Quality Management

Requirements Development

Resourcing

Risk Management

Stakeholder Management

Tactical Planning

Technical Research

Waterfall Model

Written Communication",USCYBERCOM_RS3_J5
"Network Engineer, Senior","R0218929 Network Engineer, Senior (Open)",,R0218929,Open,Supervisory Organization (Brian Hogbin (524296)),National Security Group,NSG BusMod Mgmt AcctGroup,NSG TE&S Spec Mgmt IMT,TE&S Specialized,"Systems Security & Network Security Engineer, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Reston, VA",Virginia,United States of America,"Reston, VA

Tampa, FL

Washington, DC",TS/SCI w/CIP,DIA,Full time,4/23/25,Regular,Systems Security & Network Security Engineer,Technology,"The Opportunity: 
Are you looking for an opportunity to share your experience in designing, developing, and implementing innovative network security solutions to support our country and protect our nation? As a systems security and network security engineer, you will be responsible for the enterprise deployment of the Gigamon Deep Observability Pipeline and GigaVUE Fabric Manager. We need your experience to oversee the development and implementation of Gigamon and network security solutions to deliver deep observability into all network traffic and improve the enterprise security posture.

On our team, you’ll supervise a team as they troubleshoot and analyze complex challenges for customers using your knowledge of GigaVUE HC-3 and GigaVUE T-10 packet broker solutions and GigaVUE HD series for large-scale network monitoring. You’ll manage the research of new technologies and market trends to further develop and refine security solutions.

In this role, you'll closely impact mission success, protecting data and networks from malicious payloads and actors. With mentoring, challenging hands-on problem-solving, and opportunities to learn new tools and skills, we focus on growing as a team to make the best solutions for our customers.

Work with us as we secure and protect our nation's most sensitive capabilities.

What You’ll Work On: 

Develop relationships quickly and easily with other teams, communicating the complexities of security with a wide variety of audiences, including senior management. 

Manage infrastructure and cybersecurity controls, including enhanced detection and vulnerability capabilities and improved event correlation in large enterprises.  

Lead risk and vulnerability assessments in network, system, and application areas, and leverage big data analytics and traditional security event types to identify advanced threats or indicators of compromise. 


Join us. The world can’t wait. 

You Have:

Experience architecting and designing IP networks, including developing and documenting network topologies

Experience troubleshooting and restoring network and system outages

Experience designing and implementing DoD enclaves, including compute storage, networking, routing, switching, firewalls, and end-user devices

Experience deploying Gigamon appliances and network taps

Knowledge of multi-domain architectures, including data center, WAN, and LAN in virtualized architectures

Active TS/SCI clearance; willingness to take a polygraph exam

HS diploma or GED and 12+ years of experience supporting IT projects and activities, Associate’s degree and 10+ years of experience supporting IT projects and activities, Bachelor’s degree and 8+ years of experience supporting IT projects and activities, or Master’s degree and 6+ years of experience supporting IT projects and activities

DoD 8570 IAT Level II Certification, including Security+ CE, CCNA-Security, GSEC, SSCP, CySA+, GICSP, or CND Certification

Ability to obtain a DoD 8570 Cybersecurity Service Provider - Infrastructure Support Certification, including CEH, CySA+, GICSP, SSCP, CHFI, CFR, Cloud+, or CND Certification, within 30 days of start date

Nice If You Have: 

Experience with Linux OS administration and management

Knowledge of building and maintaining SolarWinds NPM and IPAM

Ability to be a self-starter, work without considerable direction, and work with a team

Possession of excellent verbal and written communication skills, including for coordinating efforts and establishing customer relations


Clearance:   
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Big Data Analytics

Big Data Management

Client Service Excellence

Computer Crimes

Core Application Systems

Data Privacy

Enterprise Information Security Architecture

Information Assurance

Information Security

Information Security Auditing

Information Technology Security

Internet Security

Long Term Planning

Network Administration

Network Security

Organizational Savvy

Risk Management

Software Security Assurance

Tactical Planning",SITE III\ECST
RF Analyst and Operator,R0218927 RF Analyst and Operator (Open),,R0218927,Open,Supervisory Organization (Chad Finder (636328)),National Security Group,Space & MI Acct Group,AUS SPG IMT,M&I Core,"Intelligence Professional, Senior Consultant",Contingent Funding,Senior Consultant,Client Site/Booz Allen Office Delivery,Australia,Northern Territory,Australia,Australia,TS/SCI w/CIP,Other,Full time,4/23/25,Long Term Assignee,Intelligence Professional,Consulting & Mission Operations,"The Opportunity:
Critical decisions are made every day in our government. What if you could use your technical skills to help them make informed decisions? As an RF Analyst and Operator on our team, you’ll use your specialized technical experience and your attention to detail to develop strategies to give your clients the actionable information and the context they need to understand and optimize their information landscape.If you have strong analytical skills and a problem-solving mindset, we have an opportunity to use those skills to support our national security effort. Using your understanding of information requirements, platform capabilities, data processing dataflows, and analytic methodologies, you’ll help collect and analyze complex data, explore new sources of data, and combine data from multiple sources to validate the information and extract new meaning. As an authority in your mission area, your client will look to you for time-critical recommendations, often under pressure.This is a chance to grow your expertise, develop new skills, and share your insights with other technical specialists. You will interact with requirements managers, operators, and analysts on new analytic methods, technologies, and strategies, and collaborate with national and tactical operations elements to advance development efforts, recommend strategies, and support strategic and operational requirements.We focus on growing as a team to deliver the best support to our customers, so you’ll have resources for mentoring and learning new skills and tools. Join us as we provide the right information at the right time to support the critical needs of the government.Join us. The world can’t wait.You Have:    

Experience with RF intelligence and analysis resources

Knowledge of RF operations activities

Ability to work a 24/7 shift rotation

Ability to obtain timely medical and psychological clearance

TS/SCI clearance with a polygraph

HS diploma or GED

Nice If You Have:  

Experience with advanced digital RF detection techniques

Experience with RF operations

Experience with using specialized government tasking, operations, exploitation, analysis, and visualization tools  

Knowledge of information requirements and oversight policies 

Ability to identify and document system anomalies 

Bachelor's degree in a Computer Science, Electrical Engineering, or ​National Security field

Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.  ","Counterintelligence

Counterproliferation

Counter-Terrorism

Critical Thinking

Cyber Threat Intelligence

Geospatial Intelligence

Human Intelligence (HUMINT)

Imagery Intelligence

Intelligence Analysis

Intelligence Community

Intelligence Operations

International Relations (IR)

Open Source Intelligence

Oral Communications

Qualitative Analysis

Quantitative Analysis

Researching

Signals Intelligence (SIGINT)

Written Communication",Thunderball
RF Analyst and Operator,R0218928 RF Analyst and Operator (Open),,R0218928,Open,Supervisory Organization (Chad Finder (636328)),National Security Group,Space & MI Acct Group,AUS SPG IMT,M&I Core,"Intelligence Professional, Senior Consultant",Contingent Funding,Senior Consultant,Client Site/Booz Allen Office Delivery,Australia,Northern Territory,Australia,Australia,TS/SCI w/CIP,Other,Full time,4/23/25,Long Term Assignee,Intelligence Professional,Consulting & Mission Operations,"The Opportunity:
Critical decisions are made every day in our government. What if you could use your technical skills to help them make informed decisions? As an RF Analyst and Operator on our team, you’ll use your specialized technical experience and your attention to detail to develop strategies to give your clients the actionable information and the context they need to understand and optimize their information landscape.If you have strong analytical skills and a problem-solving mindset, we have an opportunity to use those skills to support our national security effort. Using your understanding of information requirements, platform capabilities, data processing dataflows, and analytic methodologies, you’ll help collect and analyze complex data, explore new sources of data, and combine data from multiple sources to validate the information and extract new meaning. As an authority in your mission area, your client will look to you for time-critical recommendations, often under pressure.This is a chance to grow your expertise, develop new skills, and share your insights with other technical specialists. You will interact with requirements managers, operators, and analysts on new analytic methods, technologies, and strategies, and collaborate with national and tactical operations elements to advance development efforts, recommend strategies, and support strategic and operational requirements.We focus on growing as a team to deliver the best support to our customers, so you’ll have resources for mentoring and learning new skills and tools. Join us as we provide the right information at the right time to support the critical needs of the government.Join us. The world can’t wait.You Have:   

6+ years of experience with digital RF detection and conditioning

Knowledge of RF operations activities

Ability to work a 24/7 shift rotation

Ability to obtain timely medical and psychological clearance

TS/SCI clearance with a polygraph

HS diploma or GED

Nice If You Have: 

Experience with advanced digital RF detection techniques

Experience with RF operations

Experience with using specialized Government tasking, operations, exploitation, analysis, and visualization tools 

Knowledge of information requirements and oversight policies 

Ability to identify and document system anomalies 

Bachelor's degree in a Computer Science, Electrical Engineering, or ​National Security field

Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.  ","Counterintelligence

Counterproliferation

Counter-Terrorism

Critical Thinking

Cyber Threat Intelligence

Geospatial Intelligence

Human Intelligence (HUMINT)

Imagery Intelligence

Intelligence Analysis

Intelligence Community

Intelligence Operations

International Relations (IR)

Open Source Intelligence

Oral Communications

Qualitative Analysis

Quantitative Analysis

Researching

Signals Intelligence (SIGINT)

Written Communication",Thunderball
Robotic and Autonomous Systems Program Support,R0218932 Robotic and Autonomous Systems Program Support (Open),,R0218932,Open,Supervisory Organization (Alexander Lawton | Alex Lawton (605857)),Global Defense Group,NMC Acct Group,NAVWAR IMT,M&I Core,"Program/Project Management Specialist, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"San Diego, CA",California,United States of America,"San Diego, CA",Secret,DOD,Full time,4/23/25,Regular,Program/Project Management Specialist,Consulting & Mission Operations,"The Opportunity:  
Are you a self-starter who thrives in a challenging environment and is empowered to lead and drive results independently?  What if you could use your skills and passion to support critical decisions for the Navy? We’re looking for a Project Management Support, Senior with strong project management experience and the ability to lead cross-functional teams in a very fast-paced and dynamic environment.  

The Project Management Support will be responsible for all aspects of project delivery, from requirements and planning to execution and closure.  This role involves assisting with managing project scope, scheduling, and budgeting, ensuring timely delivery within constraints.  The Project Management Support will be the primary liaison between the client and the Program Office and will be responsible for building and maintaining strong relationships with all project stakeholders, leading and driving a cross-functional team, effectively communicating project status, risks, and issues, and managing stakeholder expectations.   At Booz Allen, we focus on growing as a team, so we’ll share techniques, work through challenges, and develop new methodologies together. Work with us and resolve daily challenges as we improve warfighter capability.

Join us. The world can’t wait.

You Have:

4+ years of experience providing project management support

Experience in Microsoft Office Suite, SharePoint, and Visio

Knowledge of DoD SECNAV 5000 instructions

Ability to adapt to constantly changing priorities while working independently with little guidance and as part of a team

Secret clearance

Bachelor’s degree


Nice If You Have:

5+ years of experience supporting a Navy Systems Program Office, including NAVWAR, NAVSEA, or NAVAIR

Experience with managing cost, schedule, and performance of an Acquisition Category (ACAT) I-IV or Adaptive Acquisition Framework (AAF) program

Experience with Software Acquisition, DevSecOps, Agile Program Management, Confluence, or Jira

Experience with preparing briefings and reports for senior government clients

Ability to be team-oriented, lead, and motivate a team

Ability to pay attention to details and be accurate

Possession of excellent organizational, time management, prioritization, and communication skills

Top Secret clearance

PMI Project Management Professional (PMP) Certification


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required. ","Business Analytics

Business Cases

Business Performance Management

Change Management

Data Compilation

Data Reporting

Deliverables Management

Earned Value Management (EVM)

Group Problem Solving

Long Term Planning

Program Management

Project Delivery

Project Planning

Quality Management

Reviewing Contracts

Risk Management

Tactical Planning

Waterfall Model",Overmatch
